time,event,detail
2026-03-20 11:30:00,STRATEGY_CHANGE,开始过滤无市值数据的币对（market_cap_usd 为空则跳过），候选池从 TOP_N 扩大到 TOP_N*2 后再筛选
2026-03-21 09:00:03,FILTER_NO_MCAP,"跳过无市值币 10 个: ['LIGHTUSDT', 'XAIUSDT', 'PTBUSDT', 'ALICEUSDT', 'GUAUSDT', 'LYNUSDT', 'DEGOUSDT', '龙虾USDT', 'XNYUSDT', 'ENSOUSDT']"
2026-03-22 09:00:01,FILTER_NO_MCAP,"跳过无市值币 31 个: ['MAGMAUSDT', 'RDNTUSDT', 'LYNUSDT', 'BRUSDT', 'FOLKSUSDT', 'BOBUSDT', 'PTBUSDT', 'BTRUSDT', 'CYSUSDT', 'POWERUSDT', 'BEATUSDT', 'TURBOUSDT', 'SIGNUSDT', 'STOUSDT', 'DEGOUSDT', 'UAIUSDT', 'HUMAUSDT', 'LAUSDT', 'APRUSDT', 'MYXUSDT', 'NAORISUSDT', 'ANKRUSDT', 'XAIUSDT', '币安人生USDT', 'WAXPUSDT', 'CFGUSDT', 'COSUSDT', 'PIXELUSDT', 'ROBOUSDT', 'KATUSDT', 'ENJUSDT']"
2026-03-23 09:00:04,FILTER_NO_MCAP,"跳过无市值币 16 个: ['BRUSDT', 'BLUAIUSDT', 'KATUSDT', 'LIGHTUSDT', 'APRUSDT', '龙虾USDT', 'LYNUSDT', 'DEGOUSDT', 'STOUSDT', 'POWERUSDT', 'AINUSDT', 'GIGGLEUSDT', 'RESOLVUSDT', 'ENJUSDT', 'NTRNUSDT', 'PHAUSDT']"
2026-03-24 09:03:10,FILTER_NO_MCAP,"跳过无市值币 12 个: ['A2ZUSDT', '4USDT', '1000SHIBUSDT', '1000PEPEUSDT', '1000BONKUSDT', 'PIXELUSDT', '1000FLOKIUSDT', 'BTRUSDT', 'BLUAIUSDT', 'DEGOUSDT', 'RDNTUSDT', '1000FLOKIUSDT']"
2026-03-25 09:03:10,FILTER_NO_MCAP,"跳过无市值币 12 个: ['CUSDT', 'FHEUSDT', 'TAUSDT', '4USDT', '1000BONKUSDT', 'BTRUSDT', 'DEGOUSDT', '1000PEPEUSDT', '1000SHIBUSDT', 'LIGHTUSDT', 'PTBUSDT', 'PIXELUSDT']"
2026-03-25 22:45:49,STOP_LOSS,CYSUSDT 多 ROE=-81.1% entry=0.5809 mark=0.42391123
2026-03-26 09:03:12,FILTER_NO_MCAP,"跳过无市值币 23 个: ['HIPPOUSDT', 'COSUSDT', 'OLUSDT', '4USDT', '1000BONKUSDT', '1000PEPEUSDT', '1000SHIBUSDT', 'CUSDT', 'PIXELUSDT', 'BTRUSDT', 'TAUSDT', 'LIGHTUSDT', 'TAUSDT', 'BTRUSDT', 'PIXELUSDT', 'CUSDT', '1000SHIBUSDT', '1000PEPEUSDT', '1000BONKUSDT', '4USDT', 'OLUSDT', 'COSUSDT', 'HIPPOUSDT']"
2026-03-26 21:38:20,STOP_LOSS,COLLECTUSDT 多 ROE=-81.2% entry=0.07187 mark=0.05241216
2026-03-27 03:57:57,STOP_LOSS,RIVERUSDT 多 ROE=-81.1% entry=20.731 mark=15.128
2026-03-27 09:03:08,FILTER_NO_MCAP,"跳过无市值币 22 个: ['BLUAIUSDT', '1000RATSUSDT', 'DEGOUSDT', 'PIXELUSDT', 'CUSDT', 'COSUSDT', 'PTBUSDT', '1000SHIBUSDT', '1000PEPEUSDT', '1000BONKUSDT', 'LIGHTUSDT', 'LYNUSDT', 'BLESSUSDT', 'LIGHTUSDT', '1000BONKUSDT', '1000PEPEUSDT', '1000SHIBUSDT', 'PTBUSDT', 'COSUSDT', 'CUSDT', 'PIXELUSDT', 'DEGOUSDT']"
2026-03-27 10:46:10,STOP_LOSS,SIRENUSDT 多 ROE=-81.0% entry=1.570732105263 mark=1.14673293
