time,balance_usdt,long_count,long_pnl,short_count,short_pnl,total_pnl,funding_fee
2026-03-23 00:00:00,944.25,4,0.53,4,0.50,1.02,0.0000
2026-03-23 02:00:00,943.89,4,0.11,4,0.46,0.57,0.0492
2026-03-23 03:00:00,943.12,4,-0.58,4,0.32,-0.25,0.0477
2026-03-23 04:00:00,943.39,4,-1.06,4,1.05,-0.01,0.0474
2026-03-23 05:00:00,941.92,4,-1.26,4,-0.28,-1.54,0.0373
2026-03-23 06:00:00,942.61,4,-1.91,4,1.01,-0.90,0.0507
2026-03-23 07:00:00,943.18,4,-1.02,4,0.65,-0.37,0.0499
2026-03-23 08:00:00,942.59,4,-1.66,4,0.70,-0.96,0.0000
2026-03-23 09:00:00,943.68,0,0.00,0,0.00,0.00,-0.0100
2026-03-23 09:50:13,941.95,10,2.84,10,-4.33,-1.49,0.0000
2026-03-23 10:00:00,939.88,10,2.52,10,-5.89,-3.37,-0.0155
2026-03-23 10:29:27,946.62,10,4.78,10,-1.58,3.20,-0.0155
2026-03-23 11:00:35,942.17,10,4.03,10,-5.27,-1.24,-0.0155
2026-03-23 12:00:50,946.76,10,1.49,10,1.55,3.03,0.3157
2026-03-23 13:00:05,944.56,10,3.68,10,-2.82,0.86,-0.0136
2026-03-23 14:00:21,951.07,10,2.78,10,4.59,7.37,-0.0072
2026-03-23 15:00:36,954.46,10,-1.46,10,12.23,10.77,-0.0101
2026-03-23 16:00:51,952.41,10,-1.06,10,9.61,8.54,0.1770
2026-03-23 17:00:06,958.28,10,0.55,10,13.87,14.43,-0.0147
2026-03-23 18:00:21,954.77,10,-2.45,10,13.39,10.93,-0.0157
2026-03-23 19:00:36,964.25,10,-4.94,10,25.38,20.44,-0.0296
2026-03-23 20:00:51,960.23,10,2.59,10,13.73,16.32,0.1076
2026-03-23 21:00:06,966.08,10,3.85,10,18.40,22.25,-0.0768
2026-03-23 22:00:21,969.07,10,5.69,10,19.62,25.31,-0.0498
2026-03-23 23:00:36,971.99,10,2.88,10,25.35,28.22,-0.0453
2026-03-24 00:00:51,968.63,10,-0.16,10,24.91,24.75,0.1321
2026-03-24 01:00:06,968.53,10,-0.19,10,24.88,24.68,-0.0287
2026-03-24 02:00:21,974.07,10,1.55,10,28.70,30.25,-0.0231
2026-03-24 03:00:36,975.50,10,2.26,10,29.42,31.68,-0.0186
2026-03-24 04:00:52,978.89,10,0.89,10,34.05,34.94,0.1427
2026-03-24 05:00:06,979.82,10,2.35,10,33.54,35.89,-0.0141
2026-03-24 06:00:21,976.50,10,0.21,10,32.37,32.58,-0.0113
2026-03-24 07:00:37,972.54,10,-5.37,10,34.01,28.63,-0.0190
2026-03-24 08:00:52,974.90,10,-3.47,10,34.30,30.83,0.1713
2026-03-24 09:00:07,971.85,0,0.00,0,0.00,0.00,0.0000
2026-03-24 10:00:23,967.26,10,-3.38,10,-0.98,-4.36,0.0000
2026-03-24 11:00:38,973.96,10,2.47,10,-0.12,2.35,0.0000
2026-03-24 12:00:53,973.96,10,1.78,10,0.74,2.52,-0.1732
2026-03-24 13:00:08,978.46,10,3.75,10,3.27,7.02,0.0000
2026-03-24 14:00:23,976.55,10,2.68,10,2.43,5.10,0.0000
2026-03-24 15:00:38,971.56,10,-4.75,10,4.89,0.14,0.0000
2026-03-24 16:00:54,973.93,10,0.31,10,2.21,2.52,-0.0335
2026-03-24 17:00:11,974.78,10,-1.47,10,4.84,3.37,0.0000
2026-03-24 18:00:27,980.25,10,1.74,10,7.10,8.84,0.0000
2026-03-24 19:00:42,992.61,10,13.96,10,7.24,21.20,0.0000
2026-03-24 20:00:57,990.74,10,12.02,10,7.30,19.32,0.0199
2026-03-24 21:00:12,990.89,10,12.69,10,6.74,19.43,0.0000
2026-03-24 22:00:28,989.48,10,8.99,10,9.07,18.05,0.0000
2026-03-24 23:00:44,984.83,10,4.49,10,8.91,13.40,0.0000
2026-03-25 00:00:59,983.82,10,4.49,10,7.89,12.39,0.0061
2026-03-25 01:00:16,980.75,10,0.62,10,8.70,9.32,0.0000
2026-03-25 02:00:31,976.67,10,-3.51,10,8.73,5.23,0.0000
2026-03-25 03:00:47,975.93,10,-4.95,10,9.45,4.49,0.0000
2026-03-25 04:00:02,973.97,10,-6.52,10,9.07,2.55,-0.0139
2026-03-25 05:00:21,970.28,10,-6.58,10,5.44,-1.14,0.0000
2026-03-25 06:00:36,966.65,10,-7.31,10,2.57,-4.74,0.0000
2026-03-25 07:00:52,963.82,10,-11.36,10,3.75,-7.60,0.0000
2026-03-25 08:00:07,964.18,10,-9.54,10,2.46,-7.08,-0.0817
2026-03-25 09:00:24,964.63,0,0.00,0,0.00,0.00,0.0000
2026-03-25 11:00:54,985.71,10,16.68,10,4.54,21.22,0.0356
2026-03-25 11:34:50,990.73,10,17.94,10,8.31,26.24,0.0356
2026-03-25 11:44:58,991.45,10,17.99,10,8.97,26.96,0.0356
2026-03-25 12:00:02,996.05,10,21.80,10,9.88,31.68,-0.1125
2026-03-25 13:00:18,995.58,10,17.53,10,13.69,31.22,-0.0126
2026-03-25 13:06:53,994.12,10,16.92,10,12.84,29.76,-0.0126
2026-03-25 14:00:08,998.09,10,20.17,10,13.61,33.77,-0.0384
